ID,Horas_Trabajadas_Por_Semana,Ausencias_Por_Enfermedad,Nivel_de_Estres,Edad,Tipo_de_Trabajo,Riesgo
142,58,4,5,34,Oficina,1
143,38,3,3,33,Físico,0
144,33,4,8,56,Oficina,1
145,47,1,0,36,Físico,0
146,22,1,8,48,Oficina,0
147,59,5,3,30,Físico,1
148,54,1,6,30,Oficina,0
149,23,5,10,30,Físico,1
150,35,0,7,54,Oficina,0
151,50,1,1,32,Físico,0
152,49,2,0,25,Oficina,0
153,30,3,10,41,Físico,1
154,54,1,10,30,Oficina,0
155,46,1,0,35,Físico,0
156,26,4,7,37,Oficina,1
157,53,4,6,21,Físico,1
158,31,3,6,42,Oficina,0
159,50,1,6,30,Oficina,0
160,26,2,3,44,Físico,0
161,35,3,3,29,Oficina,0
162,51,1,8,37,Físico,0
163,23,5,0,44,Físico,1
164,31,3,0,30,Físico,0
165,48,5,0,56,Físico,1
166,26,3,2,63,Físico,1
167,27,0,2,54,Oficina,0
168,40,5,3,25,Físico,1
169,61,2,3,46,Oficina,0
170,45,2,4,56,Oficina,0
171,54,5,6,58,Oficina,1
172,27,2,9,28,Físico,0
173,41,2,4,24,Oficina,0
174,25,0,2,27,Oficina,0
175,50,3,10,51,Físico,0
176,21,1,7,52,Oficina,0
177,41,0,1,53,Oficina,0
178,68,5,6,26,Oficina,1
179,54,2,8,59,Físico,0
180,59,0,6,55,Físico,0
181,20,1,4,62,Oficina,0
182,26,2,5,29,Oficina,0
183,43,1,1,37,Oficina,0
184,38,2,10,44,Oficina,0
185,28,1,2,25,Físico,0
186,42,1,7,39,Físico,0
187,47,3,5,61,Físico,0
188,24,0,7,28,Oficina,0
189,70,1,8,57,Oficina,0
190,65,3,4,49,Físico,0
191,35,4,1,46,Oficina,1
192,52,1,8,37,Oficina,0
193,21,2,5,53,Físico,0
194,43,1,5,23,Oficina,0
195,36,1,1,40,Oficina,0
196,41,0,4,28,Físico,0
197,31,2,1,60,Físico,0
198,23,1,8,30,Oficina,0
199,50,4,4,28,Oficina,1
200,39,1,2,21,Físico,0
201,53,2,9,22,Oficina,0
202,30,2,9,56,Físico,0
203,34,5,5,62,Oficina,1
204,51,1,0,55,Físico,0
205,25,2,6,39,Oficina,0
206,49,5,4,22,Físico,1
207,30,1,1,36,Físico,0
208,36,4,5,21,Oficina,1
209,68,2,3,22,Físico,0
210,43,4,2,53,Físico,1
211,20,0,9,19,Físico,0
212,27,1,6,48,Oficina,0
213,43,4,9,46,Oficina,1
214,56,2,2,22,Físico,0
215,67,3,4,25,Oficina,0
216,68,5,7,56,Físico,1
217,61,5,3,64,Físico,1
218,45,1,2,52,Oficina,0
219,34,5,5,52,Oficina,1
220,44,3,1,48,Físico,0
221,38,2,7,64,Físico,0
222,20,5,10,51,Físico,1
223,29,1,7,56,Físico,0
224,66,3,7,40,Físico,0
225,21,4,7,33,Oficina,1
226,32,3,1,59,Físico,0
227,44,3,7,18,Oficina,0
228,51,4,8,62,Físico,1
229,59,2,0,28,Oficina,0
230,57,3,7,35,Oficina,0
231,38,4,7,32,Físico,1
232,22,2,1,38,Físico,0
233,50,2,0,47,Oficina,0
234,36,4,9,59,Oficina,1
235,49,5,10,59,Físico,1
236,54,1,1,52,Físico,0
237,38,1,10,31,Oficina,0
238,25,4,9,25,Oficina,1
239,21,2,6,47,Físico,0
240,66,4,6,59,Oficina,1
241,57,4,3,62,Oficina,1
242,48,1,2,28,Físico,0
243,26,2,10,33,Físico,0
244,25,2,3,57,Físico,0
245,24,0,9,64,Físico,0
246,55,4,2,49,Físico,1
247,53,5,6,18,Físico,1
248,45,5,9,30,Físico,1
249,24,4,7,51,Físico,1
250,62,3,0,41,Oficina,0
251,33,4,7,36,Oficina,1
252,49,0,5,24,Físico,0
253,32,1,5,22,Físico,0
254,28,4,6,37,Oficina,1
255,66,5,0,44,Oficina,1
256,34,3,1,34,Físico,0
257,39,3,0,63,Oficina,0
258,33,1,4,24,Físico,0
259,67,3,5,61,Oficina,0
260,41,3,5,58,Oficina,0
261,62,1,3,32,Oficina,0
262,31,0,2,28,Físico,0
263,41,1,10,40,Físico,0
264,58,4,1,55,Físico,1
265,59,4,4,57,Físico,1
266,45,3,4,29,Oficina,0
267,26,5,1,43,Físico,1
268,47,4,3,55,Oficina,1
269,53,2,9,23,Físico,0
270,60,2,2,43,Físico,0
271,60,4,2,45,Físico,1
272,24,2,4,33,Oficina,0
273,54,5,9,52,Oficina,1
274,54,5,5,28,Oficina,1
275,58,1,8,35,Físico,0
276,21,3,1,51,Oficina,1
277,36,5,2,26,Oficina,1
278,26,2,10,33,Oficina,0
279,20,2,10,28,Físico,0
280,41,3,2,56,Físico,0
281,64,5,3,51,Físico,1
282,21,3,3,22,Físico,1
283,23,0,7,37,Oficina,0
284,51,3,1,52,Físico,0
285,25,0,9,46,Físico,0
286,29,3,2,60,Oficina,1
287,53,5,1,57,Físico,1
288,46,5,10,44,Físico,1
289,43,1,7,60,Oficina,0
290,69,5,9,58,Físico,1
291,40,3,0,32,Oficina,0
292,60,1,1,23,Oficina,0
293,65,5,0,62,Físico,1
294,62,0,0,49,Físico,0
295,64,4,5,32,Oficina,1
296,33,5,6,39,Físico,1
297,46,4,3,52,Físico,1
298,58,1,10,23,Físico,0
299,32,2,4,45,Físico,0
300,29,5,3,24,Físico,1
301,66,2,4,29,Oficina,0
302,33,1,10,28,Oficina,0
303,20,5,2,61,Oficina,1
304,47,5,7,41,Físico,1
305,37,2,1,61,Físico,0
306,32,4,2,26,Físico,1
307,51,5,8,41,Oficina,1
308,68,4,0,33,Oficina,1
309,66,5,0,33,Físico,1
310,31,4,9,35,Oficina,1
311,46,0,10,18,Oficina,0
312,55,4,7,56,Oficina,1
313,42,5,2,45,Físico,1
314,60,0,5,56,Físico,0
315,24,0,3,34,Físico,0
316,32,5,2,46,Oficina,1
317,57,0,5,61,Físico,0
318,61,5,5,29,Físico,1
319,51,5,8,45,Físico,1
320,57,4,10,18,Físico,1
321,58,3,8,63,Físico,0
322,38,5,3,50,Físico,1
323,59,4,5,48,Físico,1
324,41,5,2,50,Oficina,1
325,26,4,9,36,Oficina,1
326,41,2,5,43,Oficina,0
327,63,3,6,47,Físico,0
328,44,2,9,51,Oficina,0
329,65,4,2,44,Oficina,1
330,70,1,6,56,Oficina,0
331,59,2,8,44,Físico,0
332,62,2,9,38,Físico,0
333,62,1,1,36,Oficina,0
334,32,0,6,26,Físico,0
335,53,1,8,41,Físico,0
336,52,5,1,34,Físico,1
337,51,3,3,40,Físico,0
338,42,2,7,27,Físico,0
339,55,3,3,39,Físico,0
340,23,0,8,42,Oficina,0
341,21,0,3,34,Físico,0
342,36,1,7,63,Físico,0
343,45,1,1,47,Oficina,0
344,22,5,7,53,Físico,1
345,24,5,10,47,Físico,1
346,24,5,3,26,Oficina,1
347,65,5,10,33,Físico,1
348,39,2,8,59,Oficina,0
349,23,1,1,19,Oficina,0
350,32,5,8,22,Oficina,1
351,64,3,1,23,Físico,0
352,31,1,4,18,Físico,0
353,59,0,8,64,Físico,0
354,67,5,7,62,Físico,1
355,49,2,0,55,Físico,0
356,32,4,4,47,Oficina,1
357,58,1,5,38,Oficina,0
358,21,5,9,56,Oficina,1
359,20,5,0,64,Oficina,1
360,25,1,9,26,Físico,0
361,55,3,9,23,Físico,0
362,24,0,5,51,Físico,0
363,40,3,2,47,Oficina,0
364,68,2,8,63,Físico,0
365,30,5,1,59,Oficina,1
366,60,5,6,24,Físico,1
367,26,3,6,46,Oficina,1
368,40,1,3,28,Físico,0
369,47,4,10,43,Oficina,1
370,47,4,9,46,Físico,1
371,39,3,7,59,Físico,0
372,58,5,4,65,Oficina,1
373,22,4,3,56,Físico,1
374,59,3,10,18,Oficina,0
375,48,3,9,47,Físico,0
376,51,5,4,51,Físico,1
377,21,1,4,43,Oficina,0
378,29,2,7,53,Oficina,0
379,35,5,2,29,Oficina,1
380,63,5,7,39,Oficina,1
381,51,4,4,30,Físico,1
382,67,1,3,35,Oficina,0
383,56,5,4,54,Oficina,1
384,51,5,6,52,Oficina,1
385,43,3,4,44,Físico,0
386,31,2,4,29,Físico,0
387,24,4,2,32,Oficina,1
388,35,5,2,33,Físico,1
389,25,3,6,61,Físico,1
390,61,4,7,20,Físico,1
391,35,5,2,29,Físico,1
392,62,0,3,64,Oficina,0
393,64,2,0,39,Físico,0
394,46,0,5,23,Oficina,0
395,29,1,6,36,Oficina,0
396,56,2,3,20,Oficina,0
397,64,4,0,65,Oficina,1
398,66,1,6,40,Oficina,0
399,50,0,3,53,Físico,0
400,24,5,4,50,Oficina,1
401,57,0,3,54,Oficina,0
402,39,1,6,23,Físico,0
403,65,1,2,23,Físico,0
404,42,5,5,45,Físico,1
405,44,2,4,60,Físico,0
406,47,5,8,60,Oficina,1
407,53,3,2,64,Oficina,0
408,48,5,0,19,Físico,1
409,41,1,1,46,Oficina,0
410,52,2,7,48,Oficina,0
411,49,0,4,30,Físico,0
412,24,0,8,37,Físico,0
413,57,0,8,43,Oficina,0
414,60,2,6,59,Físico,0
415,62,5,4,38,Oficina,1
416,41,4,6,64,Físico,1
417,28,2,1,53,Físico,0
418,55,3,1,62,Oficina,0
419,37,5,6,36,Oficina,1
420,43,1,5,58,Físico,0
421,66,4,4,58,Oficina,1
422,53,4,4,29,Físico,1
423,51,1,2,46,Físico,0
424,42,4,7,22,Oficina,1
425,20,3,5,21,Físico,1
426,65,4,5,49,Físico,1
427,33,1,6,37,Oficina,0
428,30,0,8,57,Físico,0
429,62,1,10,38,Oficina,0
430,39,0,10,55,Físico,0
431,36,0,6,42,Oficina,0
432,22,0,7,32,Físico,0
433,48,3,0,49,Oficina,0
434,25,4,7,53,Físico,1
435,65,3,0,43,Oficina,0
436,34,1,0,41,Oficina,0
437,63,2,7,59,Oficina,0
438,22,1,4,32,Oficina,0
439,35,3,0,51,Oficina,0
440,67,3,4,45,Físico,0
441,62,1,7,53,Físico,0
442,65,3,4,61,Físico,0
443,28,4,3,59,Oficina,1
444,45,2,5,22,Oficina,0
445,53,0,5,41,Físico,0
446,46,2,4,63,Oficina,0
447,44,0,8,61,Físico,0
448,67,4,8,57,Oficina,1
449,53,3,8,24,Físico,0
450,28,5,0,27,Físico,1
451,48,0,7,38,Oficina,0
452,48,2,9,60,Físico,0
453,47,5,9,45,Físico,1
454,22,2,3,52,Físico,0
455,28,0,3,34,Oficina,0
456,47,0,3,27,Oficina,0
457,51,2,8,27,Oficina,0
458,40,3,2,24,Físico,0
459,38,3,8,54,Oficina,0
460,54,3,6,60,Físico,0
461,69,2,2,64,Físico,0
462,40,3,2,28,Oficina,0
463,31,3,3,38,Oficina,0
464,21,4,10,58,Oficina,1
465,35,0,8,24,Físico,0
466,67,4,2,22,Físico,1
467,55,0,2,31,Físico,0
468,49,3,2,30,Físico,0
469,23,0,6,43,Oficina,0
470,51,5,2,50,Oficina,1
471,26,0,3,60,Oficina,0
472,46,5,1,50,Físico,1
473,48,5,3,64,Físico,1
474,63,5,9,29,Físico,1
475,53,2,4,20,Oficina,0
476,55,2,10,59,Físico,0
477,30,2,1,31,Físico,0
478,40,4,6,40,Físico,1
479,25,2,9,26,Oficina,0
480,59,2,0,62,Oficina,0
481,50,4,3,20,Físico,1
482,65,1,3,38,Físico,0
483,31,1,8,34,Físico,0
484,46,3,4,54,Oficina,0
485,54,0,2,48,Oficina,0
486,64,2,5,50,Físico,0
487,49,4,0,19,Físico,1
488,43,0,4,57,Físico,0
489,29,4,9,38,Físico,1
490,68,0,7,33,Oficina,0
491,64,5,2,53,Físico,1
492,25,2,10,49,Físico,0
493,25,3,7,22,Oficina,1
494,40,3,9,29,Físico,0
495,63,4,10,57,Oficina,1
496,56,4,9,31,Oficina,1
497,39,2,8,59,Oficina,0
498,65,4,8,21,Oficina,1
499,40,5,0,18,Físico,1
500,25,0,0,33,Físico,0
